topic_uid,topic_name,best_model,best_score,processing_time
T0101,Urgent: Help Us Stop Illegal Logging in the Congo Basin,phi-3-mini-dpo-syn,0.8717948717948718,694.6723034381866
T0102,Join the Fight to Save the Vaquita Porpoise from Extinction,vicuna-7b-dpo-syn,0.8529411764705882,894.9570615291595
T0103,World Oceans Day: A Call to Reduce Your Plastic Footprint,stablelm-2-1.6b-dpo-syn,0.7948717948717948,721.4818336963654
T0104,Fundraiser for Reforestation Projects in Fire-Ravaged Areas,stablelm-2-1.6b-dpo-syn,0.8372093023255814,795.5023765563965
T0105,Webinar: The Link Between Climate Change and Extreme Weather,llama-3-8b-dpo-syn,1.0,454.63291597366333
T0106,Petition to Establish a New Marine Protected Area,tinyllama-1.1b-dpo-syn,0.7058823529411765,666.5333096981049
T0107,Volunteer for our Annual River Cleanup Day,tinyllama-1.1b-dpo-syn,0.7297297297297297,739.3277578353882
T0108,Ad-hoc donation for rescued Orangutans from forest fire,vicuna-7b-dpo-syn,0.65,771.5111730098724
T0109,Newsletter: Success Stories from our Anti-Poaching Units,phi-3-mini-dpo-syn,0.696969696969697,804.124605178833
T0110,Celebrate Earth Day with a Donation to Protect Our Planet,vicuna-7b-dpo-syn,0.7297297297297297,769.5664277076721
T0111,Urgent: Tell Your Senator to Support the Safe Schools Improvement Act,phi-3-mini-dpo-syn,0.8,755.1760833263397
T0112,Invitation to Our Annual National Equality Gala,vicuna-7b-dpo-syn,0.65625,705.248125076294
T0113,Report Launch: The State of LGBTQ+ Rights in the Workplace,tinyllama-1.1b-dpo-syn,0.6153846153846154,763.8896341323853
T0114,Volunteer to Canvass for Pro-Equality Candidates in Your Area,stablelm-2-1.6b-dpo-syn,0.6666666666666666,939.3969533443451
T0115,Fundraiser for our Crisis Hotline for LGBTQ+ Youth,vicuna-7b-dpo-syn,0.5428571428571428,774.9829151630402
T0116,A Guide to Being a Better Ally to the Bisexual Community,stablelm-2-1.6b-dpo-syn,0.8571428571428571,709.7054328918457
T0117,Join Our Letter-Writing Campaign Against Discriminatory Bills,stablelm-2-1.6b-dpo-syn,0.5882352941176471,775.0645821094513
T0118,Celebrating the Anniversary of Marriage Equality,vicuna-7b-dpo-syn,0.9512195121951219,719.9364938735962
T0119,Call for Participants in a Study on LGBTQ+ Senior Healthcare,tinyllama-1.1b-dpo-syn,0.8529411764705882,827.9467282295227
T0120,Newsletter: Highlighting LGBTQ+ Activists Around the World,tinyllama-1.1b-dpo-syn,0.7272727272727273,893.5362820625305
T0121,Urgent Need for Foster Parents in Your Community,tinyllama-1.1b-dpo-syn,0.6875,759.5866632461548
T0122,Help Us Provide School Supplies for Children in Need,vicuna-7b-dpo-syn,0.7435897435897436,588.2522549629211
T0123,Invitation to our Annual 'Champions for Children' Luncheon,tinyllama-1.1b-dpo-syn,0.5714285714285714,660.9812138080597
T0124,Fundraiser for a Mobile Library to Reach Underserved Neighborhoods,phi-3-mini-dpo-syn,0.625,755.0058727264404
T0125,Volunteer to Read to Children at a Local Hospital,stablelm-2-1.6b-dpo-syn,0.8648648648648649,724.5852811336517
T0126,Success Story: How Your Donations Helped a Family in Crisis,tinyllama-1.1b-dpo-syn,0.90625,775.3156809806824
T0127,Appeal for Gently Used Musical Instruments for our Arts Program,vicuna-7b-dpo-syn,0.7297297297297297,843.8558905124664
T0128,Workshop for Parents on Recognizing Signs of Cyberbullying,vicuna-7b-dpo-syn,0.45161290322580644,791.1348986625671
T0129,Help Us Build a New Playground for the Community Center,vicuna-7b-dpo-syn,0.3611111111111111,882.6856663227081
T0130,Newsletter: A Month in Review at the Boys & Girls Club,tinyllama-1.1b-dpo-syn,0.7142857142857143,753.0339813232422
T0131,Demand Accountability for War Crimes in Yemen,llama-3-8b-dpo-syn,1.0,638.178662776947
T0132,Petition to Free Jailed Journalists in Myanmar,vicuna-7b-dpo-syn,1.0,519.1889312267303
T0133,Fundraiser for Emergency Aid for Displaced Families in Sudan,vicuna-7b-dpo-syn,0.6857142857142857,827.087872505188
T0134,Report: The Use of Facial Recognition Technology to Suppress Dissent,tinyllama-1.1b-dpo-syn,0.7272727272727273,792.5715208053589
T0135,Call to Action: End Corporate Complicity in Human Rights Abuses,stablelm-2-1.6b-dpo-syn,0.6666666666666666,957.3711385726929
T0136,Webinar: The Fight for Clean Water as a Human Right,phi-3-mini-dpo-syn,0.23076923076923078,1203.03599691391
T0137,Urgent Appeal to Protect Women's Rights Activists in Iran,tinyllama-1.1b-dpo-syn,0.34210526315789475,773.796637058258
T0138,Join Us in Calling for an End to Child Marriage Globally,stablelm-2-1.6b-dpo-syn,0.36585365853658536,777.9607887268066
T0139,A Look Back: 20 Years of Fighting for Justice at The Hague,stablelm-2-1.6b-dpo-syn,0.868421052631579,631.0227303504944
T0140,Newsletter: Updates from the Frontlines of Human Rights Defense,stablelm-2-1.6b-dpo-syn,0.8918918918918919,1052.6469526290894
T0141,Your Support is Critical: Help Us Meet Our Spring Fund Drive Goal,phi-3-mini-dpo-syn,0.53125,803.1342723369598
T0142,Invitation to a Preview Screening of Our Newest Documentary,tinyllama-1.1b-dpo-syn,0.9090909090909091,872.3832862377167
T0143,The 'Science Friday' Newsletter: This Week's Biggest Discoveries,tinyllama-1.1b-dpo-syn,0.8709677419354839,1177.135362148285
